"Competitor","rank","Team","Grand.Slam.Pts","Overall.PTS","Adult.World.Champ.","M1.World.Champ.","M2.World.Champ.","M3.World.Champ.","M4.World.Champ.","M5.World.Champ.","M6.World.Champ.","M7.World.Champ.","Grand.Slam.Open.Class.PTS","Overall.Open.Class.PTS","Overall.PTS..without.Open.Class.","division","gender","belt","weight","place","winnerGym"
"
Jessica D Flowers",3,"Gracie Barra",358,330,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jessica Elizabeth Berry",18,"Immersion Mixed Martial Arts",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jessica Emma Sanchez",15,"Notorious Mixed Martial Arts",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jessica Eve Richer",4,"CheckMat",21,78,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jessica Gin Woo",22,"Serao Mixed Martial Arts",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jessica Jean Sanchez",5,"South Valley Jiu-Jitsu",0,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jessica Lauren Ochab",5,"Jiu-Jitsu For Life Team",0,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jessica Lauren Ochab",5,"Jiu-Jitsu For Life Team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,27,NA,NA,NA,NA,NA,NA
"
Jessica Lorraine Jasper",5,"CheckMat",0,13,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jessica Lydia Feliciano",12,"RMNU Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jessica Lyn Halverson",9,"Zenith BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jessica Lynn Cardwell",5,"Fairfax Jiu Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jessica Megan Locke",9,"SBG International (SBGI)",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jessica Moreno",27,"Gracie Humaita",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jessica Ng",6,"Legacy",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jessica Nicole Baker",3,"Six Blades Jiu-Jitsu",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jessica Nicole Martin",8,"Praxis Brazilian Jiu Jitsu",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jessica Sesio",26,"Savarese Brazilian Jiu-Jitsu Academy",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jessie Jane Grace",8,"Trident Jiu-Jitsu",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jessie Shaun Shim",25,"Nova União",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jessy Robert Holmberg",24,"Gracie Humaita",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jesus Alberto Acosta Garcia",22,"Atos Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jesus Ramon Guzman",26,"Cascao Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jesus Torres Perez",7,"Unique Logic Jiu-Jitsu HQ",0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jhonny Loureiro Sigallis Souza",7,"Alliance",0,365,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jhonny Loureiro Sigallis Souza",7,"Alliance",0,217,"No","No",NA,NA,NA,NA,NA,NA,0,148,NA,NA,NA,NA,NA,NA,NA
"
Jiho Yang",28,"Alliance",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jill Rivas Pierce",5,"GF Team",6,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jillian Cara Peterson",5,"MPR Endurance",0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jillian Elizabeth Diggins",25,"Cicero Costha Internacional",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jillian Louise Chalke",2,"CheckMat",54,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jillian Louise Chalke",1,"CheckMat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,63,72,NA,NA,NA,NA,NA,NA
"
Jim J. Hennessey",32,"McVicker's Brazilian Jiu Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jim Louis Siwula II",8,"LEAD BJJ",0,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jimmie Matthew Keene",24,"R1NG BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jimmy Dang Khoa Tat",11,"CheckMat",0,95,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jimmy Lee Strout",5,"Gracie Barra",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jimmy Rey Rodriguez",3,"American Top Team",0,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jimmy Sengdetka",31,"Alliance International",0,0,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jinho Kim",6,"Ares BJJ",50,266,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jinho Son",55,"De La Riva International",0,0,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jitka Hall",13,"Paraestra UK",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jiuliano Sucena Leon",54,"Alliance International",0,0,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jo-John M. Quinata",2,"Gracie Barra",0,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Joan DeAgro",4,"Renzo Gracie Academy",0,0,"No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Joan M. Cabas",7,"Ares BJJ",0,85,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Joann Perez Gutierrez",4,"Brazilian Top Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Joanna Christine Scott",6,"CheckMat",0,67,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Joanne Patricia Klebart",12,"Six Blades Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
João Alfredo Tavares Marinho",21,"GF Team",0,9,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
João Carlos  Fernandes de Freitas",4,"Equipe A",30,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Joao Marcelo Marchis Chiozzi",21,"Alliance",0,6,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Joao P. F. Contessoto",13,"Double Five",0,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Joao Paulo Da Silva",5,"Elite Force BJJ",0,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Joao Pedro M. Pettezzoni",30,"Gracie Allegiance",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
João Pedro Oliveira Rodrigues",1,"Soul Fighters BJJ",270,295,"No","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Joao Pierre Vieira",9,"Gracie Humaita",12,116,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
João Ricardo Bordignon Miyao",1,"Cicero Costha Internacional",210,630,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
João Ricardo Teixeira da Silva",2,"DJ Team",6,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Joaquin Ramos de A. Uder",25,"Roger Coelho - Costa Rica",0,3,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Joaquin Sahagun III",12,"Vinny Magalhaes BJJ",0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jocelyn Nicole Castillo Robles",7,"BJJ Revolution Team",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jodee Ann Inouye-Agsalog",14,"Cascao Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Joe Hisataka Frederick Chiaki Scovel",1,"SF Empire Jiu-Jitsu",189,189,"No","No","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Joe Matthew Rice",3,"Massachusetts Brazilian Jiu Jitsu",4,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Joe Vasquez",12,"RMNU Team",0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Joel Andrew Geders",40,"Gracie Humaita",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Joel Anthony Arellano",9,"GF Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Joel Benjamin Garza",4,"Zenith BJJ",8,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Joel C. Yana",7,"GF Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Joel Francisco Wilcox",2,"Artista Brazilian Jiu-Jitsu",0,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Joel Maldonado",28,"Brasa CTA",0,3,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Joel Paula Garcia Jr.",36,"Killer Bees BJJ College",0,0,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Joel Rios Vizmanos",21,"Cascade Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Joel Rymon Dorris",16,"Nova União",0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Joel Stefan May",18,"Gracie Humaita Phoenix",0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Joel T. Gingery",1,"Alliance",402,402,"No","No","No","No","No","No","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Joelly Lobato de Faria",6,"Nova União",0,10,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Joey Angel Chaires",12,"One Jiu-Jitsu USA",0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Joey Ellis Dean",20,"Jean Jacques Machado BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Joferson Marcio Souza de Deus",14,"Infight JJ",0,21,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John  Pfeiffer",46,"Maracaba BJJ",0,0,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John A. Ebanks II",30,"Fabio Novaes BJJ",0,6,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Allen R Moore",28,"North Park Brazilian Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Andrew Jose Enriquez",39,"Alliance",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Anthony Coller",13,"Six Blades Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Anthony Diehl",16,"Notorious Mixed Martial Arts",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Anthony Vasquez",24,"Gracie Humaita",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Arnold Terre IV",19,"Team Jucão",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John B Gutta",5,"TAC Team BJJ",12,131,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Bon Gazzingan Dacasin Jr",28,"LCCT - Combat Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Brennan",3,"Alliance",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Brennan",9,"Alliance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"
John Cabay",16,"Ares BJJ",0,30,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Camilo Atehortua Muñoz",1,"Alliance",129,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Carlos Camacho",1,"Alliance",108,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Carson Williams",38,"LEAD BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Christopher Fischer",4,"Brazilian Top Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Christopher Macgregor",8,"Pedigo Submission Fighting",0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John D.G. Geyston",10,"Gracie Humaita",0,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John David Sisk",14,"Gracie Barra",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Dylan Irving",7,"Logic",0,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John E Vold",16,"Six Blades Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Edward Barndt III",8,"Relson Gracie",0,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John F Short",3,"American Top Team",61,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Fleming",5,"ACTJJ International",12,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Gabriel Monk",1,"Renato Tavares Association",50,445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John J. Filipovic",27,"Zenith BJJ",0,0,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Jacob Marine",9,"CheckMat",0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Jacob Miclot",23,"GF Team",0,17,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John James Piper",11,"Charlotte Jiu-Jitsu Academy",0,63,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John K E Lewis rd",17,"Alliance",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Karl Eugene Reed",17,"Alliance",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Karl Eugene Reed",8,"Alliance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"
John Kaye Quingua",10,"Rick Young BJJ Academy",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Keith McGrew",22,"Team LDMA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Kenneth Plover",19,"Gracie Barra JJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Lee Byrd",3,"Team Jucão",57,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Lee Koven",31,"Alliance",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Lightfoot",24,"Soul Fighters BJJ",0,3,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Louis Davis",20,"Detroit Jiu-Jitsu Syndicate",0,0,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John M Kosnik",54,"Legacy Jiu-Jitsu - Team Alberto Crane",0,0,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John M Sandoval",11,"Combat Base",0,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Madrigal",7,"Gracie Humaita",0,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Manuel Guzman Gonzalez",20,"Behring Puerto Rico",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Manuel Silvacontreras",43,"Cassio Werneck BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Marsh",10,"Atos Jiu-Jitsu",0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Marshall Liddle",31,"Renzo Gracie Houston",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Michael Labrada",34,"Kiko France BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Michael Tyler",26,"Cascao BJJ Las Vegas",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Michael Williams",12,"45 BJJ",0,0,"No","No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Milton Ornellas Jr",17,"Relson Gracie",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Moores",6,"Six Blades Jiu-Jitsu",8,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John P Cambronero",11,"Serra BJJ Academy",0,9,"No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John P. Toribio",4,"Jiu Jitsu Family Traning Center",12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John P.J. Guevarra",18,"Vital Brothers BJJ",0,27,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Patrick Carroll IV",1,"CheckMat",20,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Patrick Mulhern",2,"Six Blades Jiu-Jitsu",36,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Paul Goforth",21,"Impact Jiu Jitsu",0,0,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Paul Jones",4,"Carlson Gracie Team",22,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Paul Kickbusch",14,"SAS Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Paul Martin",17,"R1NG BJJ",0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Peter Canestaro",11,"GF Team",0,0,"No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Ray F Garcia",38,"Zenith BJJ",0,0,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Richard Bartram",26,"Equipe Tsunami Brazilian Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Richard Brady",2,"Ares BJJ",238,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Richard Miller",10,"Marco Nascimento BJJ",0,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Robert Perrine",24,"The Farm Brazilian Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Ryan B Mendoza",29,"Autore",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John T. Burns",24,"Absolute Behring",0,8,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Thomas McKean",7,"Unified Jiu Jitsu",21,37,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John W Meacham",8,"Zenith BJJ",0,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John William Sublette",23,"Gracie Barra",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John Yeong Choe",9,"Six Blades Jiu-Jitsu",0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
John-Dylan Romann",27,"Fight Sports",0,0,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Johnathan C. Bolton",24,"Relson Gracie",0,0,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Johnathan David Lytle",13,"Relson Gracie",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Johnathan W. Knight",54,"Gracie Barra JJ",0,0,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Johnnie Hai Nguyen",3,"CheckMat",0,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Johnny James Brown",19,"Atos Jiu-Jitsu",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Johnny James Jamero Lujan",53,"Carlson Gracie Team",0,0,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Johnny Souza Gonçalves",11,"Kronos BJJ HQ",0,19,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Johnson Clay Telford",6,"G13 BJJ USA",36,225,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Joice Tavares Viana",1,"Double Five",108,162,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Joice Tavares Viana",4,"Double Five",108,144,"No","No","No",NA,NA,NA,NA,NA,0,18,NA,NA,NA,NA,NA,NA,NA
"
Jon Andrew Delos Reyes",51,"Atos Jiu-Jitsu",0,0,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jon Davis Pruett",5,"Ares BJJ MABJJ Academy",12,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jon Edwards",11,"Rodrigo Vaghi BJJ",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jon James Makoto Giammalvo",15,"Alliance",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jon Michael Schaefer",14,"Gracie Barra",0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jon Robert Creech Jr",27,"American Jiu-Jitsu Syndicate",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
