"Competitor","rank","Team","Grand.Slam.Pts","Overall.PTS","Adult.World.Champ.","M1.World.Champ.","M2.World.Champ.","M3.World.Champ.","M4.World.Champ.","M5.World.Champ.","M6.World.Champ.","M7.World.Champ.","Grand.Slam.Open.Class.PTS","Overall.Open.Class.PTS","Overall.PTS..without.Open.Class.","division","gender","belt","weight","place","winnerGym"
"
Adrian Kenneth Pierce",7,"Carlson Gracie Team",0,309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Adrian Lee Smithson",26,"Cicero Costha Internacional",0,2,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Adrian Morales",43,"GF Team International",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Adrian Rodolfo Erw Guggenheim",25,"SF Empire Jiu-Jitsu",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Adrian Ulises Gonzalez Hernandez",66,"Maracaba BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Adriana Sahagun-Free",8,"FTCC LV",0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Adriano A Silva Dias",13,"CheckMat",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Adriano Assumpcao Franco",25,"CheckMat",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Adriano Ferreira de Araujo e Silva",2,"Barbosa Jiu-Jitsu",304,277,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Adriano Ferreira de Araujo e Silva",4,"Barbosa Jiu-Jitsu",255,228,"No","No","No","No",NA,NA,NA,NA,49,49,NA,NA,NA,NA,NA,NA,NA
"
Adrien Roberto Domingues",1,"GF Team",969,1611,"No","No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Adryell Henry Santana Cardoso",33,"China Jiu-Jitsu",0,0,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Agnaldo Luiz Silva da Silva",31,"Felipe Carvalho Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Agnaldo Luiz Silva da Silva",11,"Felipe Carvalho Team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"
Agustin Guzman Arellano",24,"Brasa CTA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Ahmad Kabalan",1,"Carlson Gracie Team",189,225,"No","No","No","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
